# batch      l2_tst    l2_trn    l2_e_tst  l2_e_trn    l2_f_tst  l2_f_trn         lr
      0    2.11e+02  2.19e+02    1.29e+00  1.32e+00    6.67e+00  6.93e+00    5.0e-03
    100    3.24e+01  2.70e+01    2.52e-01  2.73e-01    1.02e+00  8.55e-01    5.0e-03
    200    1.81e+01  1.31e+01    1.90e-01  2.01e-01    5.74e-01  4.14e-01    5.0e-03
    300    1.32e+01  1.18e+01    9.30e-02  1.03e-01    4.17e-01  3.72e-01    5.0e-03
    400    9.90e+00  1.05e+01    4.31e-02  4.82e-02    3.13e-01  3.31e-01    5.0e-03
    500    8.08e+00  8.05e+00    2.89e-02  2.52e-02    2.55e-01  2.55e-01    5.0e-03
    600    6.73e+00  5.92e+00    2.44e-02  2.51e-02    2.13e-01  1.87e-01    5.0e-03
    700    6.28e+00  5.58e+00    2.34e-02  2.47e-02    1.99e-01  1.76e-01    5.0e-03
    800    4.92e+00  4.98e+00    2.38e-02  3.33e-02    1.56e-01  1.57e-01    5.0e-03
    900    4.79e+00  5.04e+00    2.20e-02  1.95e-02    1.51e-01  1.59e-01    5.0e-03
   1000    4.55e+00  5.30e+00    2.42e-02  2.51e-02    1.44e-01  1.67e-01    5.0e-03
   1100    4.64e+00  4.95e+00    2.36e-02  2.47e-02    1.47e-01  1.56e-01    5.0e-03
   1200    3.44e+00  3.82e+00    2.18e-02  2.74e-02    1.09e-01  1.21e-01    5.0e-03
   1300    4.35e+00  3.87e+00    2.13e-02  1.96e-02    1.38e-01  1.22e-01    5.0e-03
   1400    3.24e+00  3.47e+00    2.21e-02  1.29e-02    1.03e-01  1.10e-01    5.0e-03
   1500    4.10e+00  5.48e+00    1.98e-02  1.16e-02    1.30e-01  1.73e-01    5.0e-03
   1600    3.85e+00  4.11e+00    2.14e-02  3.01e-02    1.22e-01  1.30e-01    5.0e-03
   1700    4.74e+00  3.70e+00    1.95e-02  1.88e-02    1.50e-01  1.17e-01    5.0e-03
   1800    3.52e+00  3.44e+00    1.83e-02  1.62e-02    1.11e-01  1.09e-01    5.0e-03
   1900    4.01e+00  3.77e+00    1.77e-02  1.70e-02    1.27e-01  1.19e-01    5.0e-03
   2000    2.94e+00  3.00e+00    1.86e-02  1.89e-02    9.31e-02  9.48e-02    5.0e-03
   2100    2.67e+00  2.74e+00    1.59e-02  1.70e-02    8.43e-02  8.68e-02    5.0e-03
   2200    3.50e+00  2.67e+00    1.63e-02  1.76e-02    1.11e-01  8.45e-02    5.0e-03
   2300    2.55e+00  2.58e+00    1.77e-02  1.65e-02    8.05e-02  8.15e-02    5.0e-03
   2400    2.29e+00  2.66e+00    1.45e-02  1.27e-02    7.23e-02  8.42e-02    5.0e-03
