# batch      l2_tst    l2_trn    l2_e_tst  l2_e_trn    l2_f_tst  l2_f_trn         lr
   2500    5.96e+00  6.11e+00    2.87e-02  2.64e-02    1.88e-01  1.93e-01    5.0e-03
   2600    2.98e+00  2.78e+00    2.15e-02  2.14e-02    9.42e-02  8.80e-02    5.0e-03
   2700    2.54e+00  2.52e+00    1.56e-02  1.56e-02    8.03e-02  7.96e-02    5.0e-03
   2800    5.06e+00  2.83e+00    1.53e-02  2.24e-02    1.60e-01  8.94e-02    5.0e-03
   2900    2.80e+00  3.10e+00    1.69e-02  1.45e-02    8.84e-02  9.81e-02    5.0e-03
   3000    3.07e+00  2.36e+00    1.64e-02  1.70e-02    9.72e-02  7.45e-02    5.0e-03
   3100    2.46e+00  2.21e+00    1.41e-02  1.28e-02    7.77e-02  6.99e-02    5.0e-03
   3200    2.49e+00  2.52e+00    1.34e-02  1.12e-02    7.88e-02  7.98e-02    5.0e-03
   3300    2.27e+00  2.41e+00    1.47e-02  1.65e-02    7.19e-02  7.63e-02    5.0e-03
   3400    2.95e+00  2.79e+00    1.52e-02  1.20e-02    9.32e-02  8.83e-02    5.0e-03
   3500    2.36e+00  2.03e+00    1.18e-02  1.04e-02    7.48e-02  6.43e-02    5.0e-03
   3600    1.94e+00  2.19e+00    1.26e-02  1.12e-02    6.12e-02  6.93e-02    5.0e-03
   3700    2.57e+00  2.45e+00    1.37e-02  1.68e-02    8.12e-02  7.74e-02    5.0e-03
   3800    4.04e+00  3.97e+00    1.53e-02  1.41e-02    1.28e-01  1.26e-01    5.0e-03
   3900    2.53e+00  3.00e+00    1.28e-02  1.89e-02    7.99e-02  9.50e-02    5.0e-03
   4000    2.98e+00  2.51e+00    1.70e-02  1.50e-02    9.44e-02  7.95e-02    5.0e-03
   4100    3.85e+00  3.26e+00    1.86e-02  1.55e-02    1.22e-01  1.03e-01    5.0e-03
   4200    2.28e+00  2.34e+00    1.87e-02  1.47e-02    7.21e-02  7.40e-02    5.0e-03
   4300    1.96e+00  1.95e+00    1.55e-02  1.41e-02    6.19e-02  6.18e-02    5.0e-03
   4400    2.05e+00  1.98e+00    1.38e-02  1.40e-02    6.49e-02  6.28e-02    5.0e-03
   4500    2.31e+00  2.29e+00    1.51e-02  1.28e-02    7.30e-02  7.24e-02    5.0e-03
   4600    2.54e+00  2.56e+00    1.29e-02  1.04e-02    8.02e-02  8.09e-02    5.0e-03
   4700    3.98e+00  3.47e+00    1.80e-02  1.36e-02    1.26e-01  1.10e-01    5.0e-03
   4800    1.92e+00  1.77e+00    1.48e-02  1.39e-02    6.08e-02  5.60e-02    5.0e-03
   4900    2.49e+00  1.97e+00    1.38e-02  1.42e-02    7.88e-02  6.23e-02    5.0e-03
   5000    2.23e+00  2.04e+00    1.26e-02  1.25e-02    7.07e-02  6.44e-02    5.0e-03
   5100    2.42e+00  2.39e+00    1.47e-02  1.31e-02    7.64e-02  7.55e-02    5.0e-03
   5200    3.08e+00  2.17e+00    1.55e-02  1.68e-02    9.75e-02  6.88e-02    5.0e-03
   5300    2.34e+00  1.62e+00    1.42e-02  1.48e-02    7.41e-02  5.12e-02    5.0e-03
   5400    4.12e+00  4.09e+00    1.72e-02  2.00e-02    1.30e-01  1.29e-01    5.0e-03
   5500    2.99e+00  2.29e+00    1.61e-02  2.03e-02    9.46e-02  7.23e-02    5.0e-03
   5600    2.24e+00  1.86e+00    1.45e-02  1.39e-02    7.07e-02  5.90e-02    5.0e-03
   5700    2.57e+00  2.46e+00    1.12e-02  9.79e-03    8.13e-02  7.79e-02    5.0e-03
   5800    5.24e+00  4.10e+00    1.78e-02  1.80e-02    1.66e-01  1.30e-01    5.0e-03
   5900    2.97e+00  2.73e+00    2.02e-02  2.28e-02    9.38e-02  8.64e-02    5.0e-03
   6000    1.74e+00  1.85e+00    1.20e-02  1.14e-02    5.52e-02  5.84e-02    5.0e-03
   6100    5.36e+00  2.13e+00    1.44e-02  1.45e-02    1.69e-01  6.73e-02    5.0e-03
   6200    2.69e+00  3.18e+00    1.24e-02  1.01e-02    8.51e-02  1.01e-01    5.0e-03
   6300    2.71e+00  2.23e+00    6.71e-03  4.47e-03    8.58e-02  7.04e-02    5.0e-03
   6400    3.08e+00  3.18e+00    1.55e-02  1.67e-02    9.73e-02  1.01e-01    5.0e-03
   6500    2.43e+00  2.82e+00    1.43e-02  1.30e-02    7.69e-02  8.90e-02    5.0e-03
   6600    3.98e+00  3.83e+00    1.75e-02  1.60e-02    1.26e-01  1.21e-01    5.0e-03
   6700    2.42e+00  2.06e+00    1.37e-02  1.16e-02    7.64e-02  6.51e-02    5.0e-03
   6800    1.95e+00  1.81e+00    1.22e-02  1.52e-02    6.16e-02  5.74e-02    5.0e-03
   6900    3.93e+00  3.55e+00    1.50e-02  1.42e-02    1.24e-01  1.12e-01    5.0e-03
   7000    1.99e+00  1.81e+00    1.18e-02  1.13e-02    6.29e-02  5.74e-02    5.0e-03
   7100    1.94e+00  1.79e+00    1.14e-02  8.63e-03    6.13e-02  5.66e-02    5.0e-03
   7200    1.85e+00  2.22e+00    1.18e-02  1.14e-02    5.84e-02  7.04e-02    5.0e-03
   7300    2.92e+00  2.49e+00    1.04e-02  9.99e-03    9.24e-02  7.87e-02    5.0e-03
   7400    3.58e+00  2.89e+00    1.02e-02  1.44e-02    1.13e-01  9.13e-02    5.0e-03
   7500    2.18e+00  1.80e+00    9.03e-03  1.12e-02    6.90e-02  5.68e-02    5.0e-03
   7600    2.42e+00  2.24e+00    1.30e-02  1.29e-02    7.67e-02  7.10e-02    5.0e-03
   7700    2.05e+00  1.88e+00    9.52e-03  8.94e-03    6.49e-02  5.95e-02    5.0e-03
   7800    6.56e+00  5.00e+00    1.50e-02  1.74e-02    2.08e-01  1.58e-01    5.0e-03
   7900    5.92e+00  5.18e+00    1.05e-02  1.11e-02    1.87e-01  1.64e-01    5.0e-03
   8000    2.33e+00  2.09e+00    1.21e-02  1.52e-02    7.36e-02  6.61e-02    5.0e-03
   8100    1.91e+00  1.81e+00    8.15e-03  8.70e-03    6.05e-02  5.74e-02    5.0e-03
   8200    1.92e+00  1.80e+00    8.98e-03  9.21e-03    6.08e-02  5.68e-02    5.0e-03
   8300    2.99e+00  2.54e+00    5.86e-03  5.75e-03    9.45e-02  8.02e-02    5.0e-03
   8400    2.05e+00  3.81e+00    7.84e-03  8.60e-03    6.49e-02  1.20e-01    5.0e-03
   8500    2.65e+00  2.38e+00    1.07e-02  8.72e-03    8.40e-02  7.52e-02    5.0e-03
   8600    2.81e+00  1.97e+00    1.02e-02  8.95e-03    8.88e-02  6.24e-02    5.0e-03
   8700    2.27e+00  2.25e+00    9.75e-03  9.26e-03    7.19e-02  7.11e-02    5.0e-03
   8800    2.73e+00  2.67e+00    9.49e-03  9.99e-03    8.65e-02  8.44e-02    5.0e-03
   8900    1.96e+00  2.12e+00    7.84e-03  5.70e-03    6.21e-02  6.72e-02    5.0e-03
   9000    1.98e+00  1.90e+00    8.76e-03  1.00e-02    6.26e-02  6.00e-02    5.0e-03
   9100    3.73e+00  2.85e+00    1.19e-02  9.70e-03    1.18e-01  9.00e-02    5.0e-03
   9200    1.69e+00  1.70e+00    8.03e-03  8.93e-03    5.36e-02  5.37e-02    5.0e-03
   9300    1.61e+00  1.52e+00    1.15e-02  9.24e-03    5.09e-02  4.79e-02    5.0e-03
   9400    1.73e+00  1.95e+00    8.18e-03  1.01e-02    5.47e-02  6.16e-02    5.0e-03
   9500    3.17e+00  2.86e+00    1.40e-02  1.08e-02    1.00e-01  9.04e-02    5.0e-03
   9600    2.33e+00  2.59e+00    7.13e-03  5.80e-03    7.38e-02  8.20e-02    5.0e-03
   9700    2.90e+00  2.72e+00    1.39e-02  1.20e-02    9.16e-02  8.60e-02    5.0e-03
   9800    2.48e+00  2.52e+00    1.11e-02  1.05e-02    7.83e-02  7.97e-02    5.0e-03
   9900    1.72e+00  1.71e+00    9.69e-03  1.02e-02    5.43e-02  5.41e-02    5.0e-03
  10000    2.36e+00  1.89e+00    8.92e-03  6.46e-03    7.46e-02  5.98e-02    5.0e-03
  10100    1.75e+00  1.66e+00    5.49e-03  4.17e-03    5.53e-02  5.25e-02    5.0e-03
  10200    2.75e+00  2.79e+00    2.27e-02  2.35e-02    8.68e-02  8.83e-02    5.0e-03
  10300    2.03e+00  1.86e+00    9.13e-03  8.95e-03    6.43e-02  5.89e-02    5.0e-03
  10400    1.60e+00  1.27e+00    7.83e-03  8.97e-03    5.05e-02  4.02e-02    5.0e-03
  10500    3.55e+00  2.88e+00    1.26e-02  1.42e-02    1.12e-01  9.12e-02    5.0e-03
  10600    2.91e+00  3.28e+00    2.54e-02  3.57e-02    9.19e-02  1.04e-01    5.0e-03
  10700    2.18e+00  2.84e+00    1.20e-02  1.33e-02    6.89e-02  8.98e-02    5.0e-03
  10800    4.11e+00  4.45e+00    1.39e-02  9.63e-03    1.30e-01  1.41e-01    5.0e-03
  10900    2.50e+00  2.81e+00    1.42e-02  1.45e-02    7.89e-02  8.90e-02    5.0e-03
  11000    2.65e+00  2.43e+00    1.35e-02  1.31e-02    8.39e-02  7.68e-02    5.0e-03
  11100    1.76e+00  1.89e+00    1.02e-02  6.94e-03    5.58e-02  5.99e-02    5.0e-03
  11200    1.38e+00  1.40e+00    1.15e-02  1.04e-02    4.36e-02  4.42e-02    5.0e-03
  11300    2.01e+00  1.62e+00    1.70e-02  1.65e-02    6.36e-02  5.11e-02    5.0e-03
  11400    1.94e+00  1.94e+00    9.22e-03  6.47e-03    6.14e-02  6.14e-02    5.0e-03
  11500    1.89e+00  1.79e+00    1.46e-02  1.24e-02    5.96e-02  5.66e-02    5.0e-03
  11600    2.12e+00  2.24e+00    9.81e-03  8.55e-03    6.71e-02  7.09e-02    5.0e-03
  11700    3.91e+00  3.14e+00    1.07e-02  9.48e-03    1.24e-01  9.94e-02    5.0e-03
  11800    2.68e+00  2.48e+00    9.18e-03  7.69e-03    8.46e-02  7.84e-02    5.0e-03
  11900    2.00e+00  1.81e+00    1.47e-02  1.06e-02    6.32e-02  5.72e-02    5.0e-03
  12000    2.09e+00  2.15e+00    1.48e-02  1.31e-02    6.61e-02  6.81e-02    5.0e-03
  12100    1.62e+00  1.48e+00    1.13e-02  7.87e-03    5.13e-02  4.69e-02    5.0e-03
  12200    1.62e+00  1.82e+00    9.58e-03  8.95e-03    5.13e-02  5.75e-02    5.0e-03
  12300    3.05e+00  2.56e+00    7.31e-03  5.65e-03    9.65e-02  8.11e-02    5.0e-03
  12400    3.69e+00  3.05e+00    1.16e-02  9.68e-03    1.17e-01  9.65e-02    5.0e-03
  12500    1.98e+00  1.69e+00    8.52e-03  9.43e-03    6.27e-02  5.34e-02    5.0e-03
  12600    1.90e+00  1.59e+00    8.80e-03  7.43e-03    6.02e-02  5.04e-02    5.0e-03
  12700    1.83e+00  1.61e+00    8.01e-03  5.68e-03    5.80e-02  5.08e-02    5.0e-03
  12800    1.88e+00  1.69e+00    5.00e-03  4.27e-03    5.94e-02  5.33e-02    5.0e-03
  12900    2.27e+00  1.95e+00    1.43e-02  1.57e-02    7.16e-02  6.18e-02    5.0e-03
  13000    1.51e+00  1.23e+00    9.92e-03  1.08e-02    4.77e-02  3.89e-02    5.0e-03
  13100    2.47e+00  2.16e+00    1.47e-02  1.34e-02    7.82e-02  6.83e-02    5.0e-03
  13200    1.89e+00  1.59e+00    9.47e-03  8.97e-03    5.97e-02  5.02e-02    5.0e-03
  13300    1.73e+00  1.79e+00    1.20e-02  1.06e-02    5.48e-02  5.67e-02    5.0e-03
  13400    4.10e+00  3.14e+00    1.05e-02  1.13e-02    1.30e-01  9.92e-02    5.0e-03
  13500    2.22e+00  2.21e+00    1.60e-02  1.71e-02    7.02e-02  6.97e-02    5.0e-03
  13600    3.70e+00  3.32e+00    2.06e-02  1.85e-02    1.17e-01  1.05e-01    5.0e-03
  13700    2.37e+00  2.06e+00    5.66e-03  5.16e-03    7.49e-02  6.52e-02    5.0e-03
  13800    1.49e+00  1.49e+00    5.96e-03  4.85e-03    4.71e-02  4.73e-02    5.0e-03
  13900    1.86e+00  1.51e+00    7.96e-03  7.53e-03    5.89e-02  4.79e-02    5.0e-03
  14000    1.51e+00  1.23e+00    4.73e-03  3.87e-03    4.77e-02  3.88e-02    5.0e-03
  14100    1.97e+00  1.87e+00    4.53e-03  4.95e-03    6.22e-02  5.92e-02    5.0e-03
  14200    2.89e+00  2.22e+00    4.43e-03  4.81e-03    9.14e-02  7.01e-02    5.0e-03
  14300    6.08e+00  6.63e+00    2.14e-02  1.81e-02    1.92e-01  2.10e-01    5.0e-03
  14400    4.54e+00  2.89e+00    9.75e-03  5.60e-03    1.43e-01  9.14e-02    5.0e-03
  14500    3.05e+00  3.09e+00    2.53e-02  2.19e-02    9.64e-02  9.77e-02    5.0e-03
  14600    2.30e+00  2.41e+00    1.06e-02  9.93e-03    7.27e-02  7.62e-02    5.0e-03
  14700    2.04e+00  2.05e+00    9.25e-03  7.65e-03    6.46e-02  6.49e-02    5.0e-03
  14800    1.37e+00  1.16e+00    7.20e-03  9.13e-03    4.32e-02  3.65e-02    5.0e-03
  14900    1.51e+00  1.48e+00    7.52e-03  6.08e-03    4.78e-02  4.68e-02    5.0e-03
  15000    1.72e+00  1.77e+00    7.28e-03  6.76e-03    5.43e-02  5.61e-02    5.0e-03
  15100    1.57e+00  1.36e+00    7.17e-03  9.05e-03    4.96e-02  4.31e-02    5.0e-03
  15200    1.97e+00  2.73e+00    7.03e-03  6.77e-03    6.24e-02  8.62e-02    5.0e-03
  15300    5.57e+00  3.99e+00    5.16e-03  4.59e-03    1.76e-01  1.26e-01    5.0e-03
  15400    1.94e+00  1.99e+00    1.05e-02  1.21e-02    6.12e-02  6.29e-02    5.0e-03
  15500    1.24e+00  1.47e+00    5.25e-03  5.23e-03    3.92e-02  4.65e-02    5.0e-03
  15600    1.60e+00  1.76e+00    5.58e-03  4.89e-03    5.05e-02  5.56e-02    5.0e-03
  15700    2.63e+00  2.51e+00    3.18e-03  3.21e-03    8.32e-02  7.94e-02    5.0e-03
  15800    2.77e+00  2.37e+00    7.20e-03  7.14e-03    8.75e-02  7.48e-02    5.0e-03
  15900    2.11e+00  1.87e+00    1.07e-02  1.32e-02    6.67e-02  5.90e-02    5.0e-03
  16000    1.84e+00  1.91e+00    1.88e-03  2.20e-03    5.80e-02  6.04e-02    5.0e-03
  16100    2.43e+00  2.24e+00    6.69e-03  7.85e-03    7.69e-02  7.09e-02    5.0e-03
  16200    2.77e+00  2.80e+00    9.01e-03  7.58e-03    8.76e-02  8.86e-02    5.0e-03
  16300    1.53e+00  1.56e+00    3.48e-03  3.18e-03    4.82e-02  4.92e-02    5.0e-03
  16400    1.57e+00  1.27e+00    5.05e-03  5.89e-03    4.97e-02  4.03e-02    5.0e-03
  16500    2.88e+00  2.74e+00    6.81e-03  7.31e-03    9.10e-02  8.65e-02    5.0e-03
  16600    1.71e+00  1.61e+00    2.72e-03  3.17e-03    5.41e-02  5.10e-02    5.0e-03
  16700    1.46e+00  1.32e+00    5.48e-03  5.10e-03    4.62e-02  4.17e-02    5.0e-03
  16800    2.18e+00  3.00e+00    1.02e-02  9.63e-03    6.89e-02  9.48e-02    5.0e-03
  16900    1.57e+00  1.92e+00    3.20e-03  3.16e-03    4.97e-02  6.06e-02    5.0e-03
  17000    1.28e+00  1.32e+00    2.75e-03  3.26e-03    4.04e-02  4.19e-02    5.0e-03
  17100    2.39e+00  2.09e+00    3.99e-03  6.10e-03    7.57e-02  6.61e-02    5.0e-03
  17200    3.40e+00  2.25e+00    8.60e-03  1.05e-02    1.08e-01  7.10e-02    5.0e-03
  17300    5.76e+00  5.17e+00    7.15e-03  6.92e-03    1.82e-01  1.63e-01    5.0e-03
  17400    1.90e+00  2.09e+00    4.15e-03  3.93e-03    6.01e-02  6.61e-02    5.0e-03
  17500    1.62e+00  1.60e+00    1.14e-02  7.64e-03    5.12e-02  5.05e-02    5.0e-03
  17600    2.56e+00  2.14e+00    1.25e-02  9.41e-03    8.09e-02  6.77e-02    5.0e-03
  17700    1.49e+00  1.53e+00    1.14e-02  1.22e-02    4.71e-02  4.85e-02    5.0e-03
  17800    1.21e+00  9.80e-01    8.91e-03  8.12e-03    3.84e-02  3.10e-02    5.0e-03
  17900    1.45e+00  1.66e+00    1.10e-02  9.70e-03    4.59e-02  5.25e-02    5.0e-03
  18000    1.57e+00  1.57e+00    9.64e-03  7.64e-03    4.95e-02  4.96e-02    5.0e-03
  18100    1.03e+00  1.00e+00    6.51e-03  5.68e-03    3.27e-02  3.17e-02    5.0e-03
  18200    1.52e+00  1.39e+00    6.40e-03  5.33e-03    4.79e-02  4.39e-02    5.0e-03
  18300    2.09e+00  1.57e+00    1.24e-02  1.14e-02    6.60e-02  4.98e-02    5.0e-03
  18400    2.37e+00  2.06e+00    1.10e-02  1.10e-02    7.49e-02  6.50e-02    5.0e-03
  18500    7.53e+00  7.95e+00    1.83e-02  1.82e-02    2.38e-01  2.51e-01    5.0e-03
  18600    3.61e+00  2.71e+00    1.12e-02  1.39e-02    1.14e-01  8.57e-02    5.0e-03
  18700    1.71e+00  1.74e+00    3.67e-03  4.58e-03    5.42e-02  5.51e-02    5.0e-03
  18800    1.20e+00  1.09e+00    3.67e-03  3.83e-03    3.79e-02  3.44e-02    5.0e-03
  18900    1.21e+00  1.33e+00    6.05e-03  5.99e-03    3.82e-02  4.20e-02    5.0e-03
  19000    1.25e+00  1.21e+00    6.61e-03  7.14e-03    3.97e-02  3.82e-02    5.0e-03
  19100    1.71e+00  1.35e+00    6.22e-03  5.58e-03    5.42e-02  4.28e-02    5.0e-03
  19200    1.72e+00  1.59e+00    8.64e-03  9.80e-03    5.44e-02  5.03e-02    5.0e-03
  19300    1.77e+00  1.80e+00    4.93e-03  5.10e-03    5.58e-02  5.68e-02    5.0e-03
  19400    1.28e+00  1.22e+00    4.87e-03  2.81e-03    4.03e-02  3.86e-02    5.0e-03
  19500    1.24e+00  1.25e+00    6.19e-03  5.02e-03    3.91e-02  3.96e-02    5.0e-03
  19600    2.91e+00  2.34e+00    9.83e-03  1.25e-02    9.19e-02  7.39e-02    5.0e-03
  19700    3.18e+00  2.96e+00    7.78e-03  9.17e-03    1.00e-01  9.36e-02    5.0e-03
  19800    1.54e+00  1.64e+00    3.23e-03  2.57e-03    4.86e-02  5.18e-02    5.0e-03
  19900    1.66e+00  1.25e+00    2.64e-03  1.56e-03    5.25e-02  3.94e-02    5.0e-03
  20000    1.11e+00  1.21e+00    4.24e-03  2.75e-03    4.66e-02  5.11e-02    2.8e-03
  20100    7.11e-01  6.58e-01    2.82e-03  1.88e-03    3.00e-02  2.77e-02    2.8e-03
  20200    6.59e-01  5.95e-01    3.31e-03  2.23e-03    2.78e-02  2.51e-02    2.8e-03
  20300    6.44e-01  6.15e-01    3.20e-03  3.09e-03    2.71e-02  2.59e-02    2.8e-03
  20400    6.83e-01  6.00e-01    3.47e-03  3.54e-03    2.88e-02  2.53e-02    2.8e-03
  20500    6.86e-01  5.42e-01    3.07e-03  2.67e-03    2.89e-02  2.29e-02    2.8e-03
  20600    6.36e-01  6.31e-01    2.95e-03  1.99e-03    2.68e-02  2.66e-02    2.8e-03
  20700    7.10e-01  6.35e-01    3.87e-03  2.73e-03    2.99e-02  2.68e-02    2.8e-03
  20800    5.82e-01  5.99e-01    3.87e-03  3.40e-03    2.46e-02  2.52e-02    2.8e-03
  20900    7.13e-01  6.01e-01    3.21e-03  2.89e-03    3.01e-02  2.53e-02    2.8e-03
  21000    6.70e-01  6.25e-01    3.46e-03  3.15e-03    2.83e-02  2.63e-02    2.8e-03
  21100    6.11e-01  5.90e-01    3.19e-03  3.23e-03    2.58e-02  2.49e-02    2.8e-03
  21200    5.65e-01  6.22e-01    3.90e-03  2.79e-03    2.38e-02  2.62e-02    2.8e-03
  21300    5.93e-01  5.24e-01    3.06e-03  2.45e-03    2.50e-02  2.21e-02    2.8e-03
  21400    6.04e-01  6.17e-01    2.59e-03  1.68e-03    2.55e-02  2.60e-02    2.8e-03
  21500    6.23e-01  6.98e-01    2.64e-03  2.18e-03    2.63e-02  2.94e-02    2.8e-03
  21600    6.77e-01  5.81e-01    2.80e-03  2.30e-03    2.85e-02  2.45e-02    2.8e-03
  21700    6.63e-01  7.11e-01    3.20e-03  2.58e-03    2.79e-02  3.00e-02    2.8e-03
  21800    7.94e-01  6.87e-01    9.78e-04  1.12e-03    3.35e-02  2.90e-02    2.8e-03
  21900    7.92e-01  8.29e-01    2.41e-03  1.82e-03    3.34e-02  3.50e-02    2.8e-03
  22000    6.20e-01  5.39e-01    2.57e-03  2.50e-03    2.61e-02  2.27e-02    2.8e-03
  22100    9.09e-01  7.92e-01    4.73e-03  5.29e-03    3.83e-02  3.34e-02    2.8e-03
  22200    8.26e-01  7.60e-01    3.46e-03  3.82e-03    3.48e-02  3.20e-02    2.8e-03
  22300    9.45e-01  9.03e-01    3.75e-03  3.18e-03    3.98e-02  3.81e-02    2.8e-03
  22400    8.57e-01  7.26e-01    4.95e-03  4.60e-03    3.61e-02  3.06e-02    2.8e-03
  22500    1.11e+00  9.57e-01    2.25e-03  2.10e-03    4.68e-02  4.03e-02    2.8e-03
  22600    7.19e-01  7.18e-01    2.43e-03  2.70e-03    3.03e-02  3.03e-02    2.8e-03
  22700    1.11e+00  1.02e+00    7.96e-03  7.89e-03    4.67e-02  4.31e-02    2.8e-03
  22800    1.06e+00  8.41e-01    1.54e-03  2.22e-03    4.47e-02  3.54e-02    2.8e-03
  22900    1.47e+00  9.16e-01    6.82e-03  6.95e-03    6.21e-02  3.86e-02    2.8e-03
  23000    1.44e+00  1.29e+00    3.75e-03  3.06e-03    6.06e-02  5.45e-02    2.8e-03
  23100    1.95e+00  1.54e+00    5.36e-03  4.40e-03    8.20e-02  6.50e-02    2.8e-03
  23200    8.91e-01  9.17e-01    5.46e-03  4.61e-03    3.76e-02  3.86e-02    2.8e-03
  23300    7.09e-01  6.92e-01    3.62e-03  3.83e-03    2.99e-02  2.92e-02    2.8e-03
  23400    1.03e+00  7.01e-01    2.79e-03  2.33e-03    4.33e-02  2.95e-02    2.8e-03
  23500    6.16e-01  5.99e-01    3.22e-03  2.51e-03    2.60e-02  2.52e-02    2.8e-03
  23600    7.64e-01  7.52e-01    3.55e-03  4.10e-03    3.22e-02  3.17e-02    2.8e-03
  23700    1.01e+00  1.01e+00    3.09e-03  2.68e-03    4.27e-02  4.26e-02    2.8e-03
  23800    1.33e+00  1.41e+00    7.15e-03  9.09e-03    5.63e-02  5.96e-02    2.8e-03
  23900    8.81e-01  7.66e-01    3.26e-03  2.97e-03    3.71e-02  3.23e-02    2.8e-03
  24000    1.24e+00  1.10e+00    4.06e-03  3.43e-03    5.25e-02  4.65e-02    2.8e-03
  24100    1.14e+00  1.12e+00    9.85e-03  9.08e-03    4.79e-02  4.73e-02    2.8e-03
  24200    1.58e+00  1.57e+00    7.76e-03  6.59e-03    6.67e-02  6.60e-02    2.8e-03
  24300    7.08e-01  6.92e-01    7.84e-03  6.65e-03    2.98e-02  2.92e-02    2.8e-03
  24400    8.57e-01  6.15e-01    3.64e-03  3.94e-03    3.61e-02  2.59e-02    2.8e-03
  24500    1.02e+00  1.01e+00    2.77e-03  2.79e-03    4.31e-02  4.24e-02    2.8e-03
  24600    6.47e-01  6.05e-01    2.81e-03  2.27e-03    2.73e-02  2.55e-02    2.8e-03
  24700    6.84e-01  7.31e-01    2.09e-03  1.68e-03    2.88e-02  3.08e-02    2.8e-03
  24800    1.22e+00  1.23e+00    3.08e-03  3.35e-03    5.15e-02  5.18e-02    2.8e-03
  24900    1.60e+00  1.10e+00    3.46e-03  3.40e-03    6.73e-02  4.62e-02    2.8e-03
  25000    6.38e-01  7.36e-01    7.37e-03  6.90e-03    2.69e-02  3.10e-02    2.8e-03
  25100    8.75e-01  8.18e-01    4.68e-03  5.19e-03    3.69e-02  3.45e-02    2.8e-03
  25200    9.43e-01  1.04e+00    1.98e-03  1.96e-03    3.97e-02  4.36e-02    2.8e-03
  25300    8.05e-01  7.01e-01    3.18e-03  3.35e-03    3.39e-02  2.95e-02    2.8e-03
  25400    6.95e-01  7.50e-01    3.11e-03  4.02e-03    2.93e-02  3.16e-02    2.8e-03
  25500    1.10e+00  1.14e+00    5.98e-03  5.43e-03    4.63e-02  4.80e-02    2.8e-03
  25600    1.73e+00  1.90e+00    1.67e-02  1.19e-02    7.30e-02  8.02e-02    2.8e-03
  25700    7.99e-01  9.20e-01    1.08e-02  1.06e-02    3.37e-02  3.88e-02    2.8e-03
  25800    7.03e-01  6.06e-01    9.68e-03  8.78e-03    2.96e-02  2.56e-02    2.8e-03
  25900    6.94e-01  5.55e-01    8.25e-03  8.30e-03    2.93e-02  2.34e-02    2.8e-03
  26000    8.18e-01  7.50e-01    7.30e-03  6.43e-03    3.45e-02  3.16e-02    2.8e-03
  26100    7.55e-01  6.48e-01    3.77e-03  3.68e-03    3.18e-02  2.73e-02    2.8e-03
