# batch      l2_tst    l2_trn    l2_e_tst  l2_e_trn    l2_f_tst  l2_f_trn         lr
   5900    2.16e+00  2.05e+00    1.20e-02  1.62e-02    6.84e-02  6.47e-02    5.0e-03
   6000    2.85e+00  2.32e+00    9.91e-03  9.28e-03    9.02e-02  7.32e-02    5.0e-03
   6100    2.83e+00  2.73e+00    1.50e-02  1.56e-02    8.94e-02  8.62e-02    5.0e-03
   6200    3.22e+00  3.08e+00    1.18e-02  1.30e-02    1.02e-01  9.75e-02    5.0e-03
   6300    3.16e+00  2.54e+00    1.77e-02  1.62e-02    1.00e-01  8.03e-02    5.0e-03
   6400    3.64e+00  3.46e+00    1.02e-02  1.08e-02    1.15e-01  1.09e-01    5.0e-03
   6500    2.16e+00  1.81e+00    9.80e-03  1.52e-02    6.83e-02  5.74e-02    5.0e-03
   6600    2.16e+00  2.22e+00    1.26e-02  1.23e-02    6.83e-02  7.02e-02    5.0e-03
   6700    1.69e+00  1.56e+00    1.10e-02  1.05e-02    5.34e-02  4.92e-02    5.0e-03
   6800    1.80e+00  1.69e+00    1.03e-02  1.57e-02    5.68e-02  5.33e-02    5.0e-03
   6900    3.39e+00  3.41e+00    1.61e-02  1.52e-02    1.07e-01  1.08e-01    5.0e-03
   7000    4.06e+00  2.67e+00    1.57e-02  1.29e-02    1.28e-01  8.43e-02    5.0e-03
   7100    3.20e+00  2.69e+00    1.50e-02  1.80e-02    1.01e-01  8.51e-02    5.0e-03
   7200    1.70e+00  1.57e+00    1.11e-02  2.11e-02    5.39e-02  4.96e-02    5.0e-03
   7300    2.01e+00  2.12e+00    9.95e-03  1.34e-02    6.37e-02  6.71e-02    5.0e-03
   7400    1.99e+00  1.63e+00    1.02e-02  1.36e-02    6.29e-02  5.15e-02    5.0e-03
   7500    1.36e+00  1.22e+00    9.89e-03  1.10e-02    4.29e-02  3.85e-02    5.0e-03
   7600    1.73e+00  1.59e+00    1.32e-02  1.48e-02    5.46e-02  5.04e-02    5.0e-03
   7700    2.07e+00  1.90e+00    9.37e-03  1.29e-02    6.54e-02  6.00e-02    5.0e-03
   7800    2.29e+00  1.97e+00    7.81e-03  9.85e-03    7.24e-02  6.24e-02    5.0e-03
   7900    3.82e+00  4.06e+00    2.13e-02  1.58e-02    1.21e-01  1.28e-01    5.0e-03
   8000    2.10e+00  3.48e+00    8.69e-03  1.67e-02    6.64e-02  1.10e-01    5.0e-03
   8100    2.53e+00  2.34e+00    2.14e-02  2.77e-02    7.99e-02  7.41e-02    5.0e-03
   8200    1.94e+00  1.89e+00    1.05e-02  1.47e-02    6.14e-02  5.96e-02    5.0e-03
   8300    1.74e+00  1.75e+00    8.41e-03  1.12e-02    5.52e-02  5.53e-02    5.0e-03
   8400    2.65e+00  2.34e+00    8.16e-03  7.63e-03    8.37e-02  7.40e-02    5.0e-03
   8500    1.93e+00  1.70e+00    1.09e-02  1.35e-02    6.10e-02  5.37e-02    5.0e-03
   8600    2.89e+00  2.72e+00    7.68e-03  8.35e-03    9.13e-02  8.60e-02    5.0e-03
