# batch      l2_tst    l2_trn    l2_e_tst  l2_e_trn    l2_f_tst  l2_f_trn         lr
  89800    1.18e-01  1.06e-01    1.06e-03  5.20e-04    1.17e-02  1.05e-02    5.0e-04
  89900    1.10e-01  1.17e-01    9.46e-04  1.15e-03    1.10e-02  1.17e-02    5.0e-04
  90000    1.15e-01  1.10e-01    8.90e-04  1.16e-03    1.15e-02  1.10e-02    5.0e-04
  90100    1.58e-01  1.43e-01    1.20e-03  8.20e-04    1.57e-02  1.42e-02    5.0e-04
  90200    1.14e-01  1.03e-01    1.12e-03  9.25e-04    1.14e-02  1.03e-02    5.0e-04
  90300    1.22e-01  1.12e-01    8.60e-04  6.49e-04    1.21e-02  1.11e-02    5.0e-04
  90400    1.28e-01  1.12e-01    1.05e-03  6.85e-04    1.27e-02  1.11e-02    5.0e-04
  90500    1.17e-01  1.09e-01    1.02e-03  7.51e-04    1.17e-02  1.09e-02    5.0e-04
  90600    1.11e-01  1.08e-01    1.01e-03  8.90e-04    1.10e-02  1.08e-02    5.0e-04
  90700    1.22e-01  1.09e-01    8.27e-04  8.79e-04    1.22e-02  1.09e-02    5.0e-04
  90800    1.19e-01  9.04e-02    8.40e-04  9.48e-04    1.18e-02  9.00e-03    5.0e-04
  90900    1.15e-01  1.07e-01    1.38e-03  1.20e-03    1.14e-02  1.07e-02    5.0e-04
  91000    1.78e-01  1.35e-01    2.95e-03  2.63e-03    1.77e-02  1.34e-02    5.0e-04
  91100    1.04e-01  9.24e-02    1.33e-03  1.20e-03    1.04e-02  9.19e-03    5.0e-04
  91200    1.51e-01  1.32e-01    8.98e-04  1.39e-03    1.51e-02  1.31e-02    5.0e-04
  91300    1.23e-01  1.19e-01    8.26e-04  5.53e-04    1.22e-02  1.18e-02    5.0e-04
  91400    1.28e-01  1.15e-01    1.92e-03  1.99e-03    1.27e-02  1.14e-02    5.0e-04
  91500    1.24e-01  1.14e-01    9.81e-04  8.45e-04    1.23e-02  1.14e-02    5.0e-04
  91600    1.15e-01  1.01e-01    1.03e-03  8.32e-04    1.14e-02  1.00e-02    5.0e-04
  91700    1.02e-01  9.91e-02    7.45e-04  6.60e-04    1.02e-02  9.87e-03    5.0e-04
  91800    1.06e-01  1.14e-01    1.09e-03  9.09e-04    1.05e-02  1.13e-02    5.0e-04
  91900    1.15e-01  1.12e-01    1.00e-03  1.01e-03    1.15e-02  1.12e-02    5.0e-04
  92000    1.04e-01  9.74e-02    1.67e-03  1.55e-03    1.03e-02  9.68e-03    5.0e-04
  92100    1.13e-01  1.22e-01    8.37e-04  5.92e-04    1.13e-02  1.22e-02    5.0e-04
  92200    1.53e-01  1.31e-01    1.20e-03  1.05e-03    1.52e-02  1.30e-02    5.0e-04
  92300    1.34e-01  1.18e-01    1.30e-03  1.51e-03    1.33e-02  1.18e-02    5.0e-04
  92400    1.21e-01  1.08e-01    7.74e-04  6.70e-04    1.20e-02  1.08e-02    5.0e-04
  92500    2.10e-01  1.74e-01    1.21e-03  1.02e-03    2.09e-02  1.73e-02    5.0e-04
  92600    1.32e-01  1.67e-01    1.11e-03  1.62e-03    1.32e-02  1.66e-02    5.0e-04
  92700    1.24e-01  1.23e-01    5.23e-04  5.01e-04    1.24e-02  1.23e-02    5.0e-04
  92800    1.01e-01  1.16e-01    9.60e-04  8.65e-04    1.00e-02  1.16e-02    5.0e-04
  92900    1.25e-01  1.27e-01    9.85e-04  1.14e-03    1.25e-02  1.27e-02    5.0e-04
  93000    1.12e-01  1.16e-01    1.24e-03  1.34e-03    1.12e-02  1.15e-02    5.0e-04
  93100    1.24e-01  1.36e-01    7.77e-04  4.82e-04    1.23e-02  1.36e-02    5.0e-04
  93200    1.50e-01  1.32e-01    1.18e-03  1.19e-03    1.49e-02  1.31e-02    5.0e-04
  93300    1.19e-01  1.09e-01    6.44e-04  5.80e-04    1.18e-02  1.08e-02    5.0e-04
  93400    1.23e-01  1.08e-01    8.57e-04  7.48e-04    1.22e-02  1.07e-02    5.0e-04
  93500    9.67e-02  1.13e-01    8.31e-04  1.19e-03    9.63e-03  1.13e-02    5.0e-04
  93600    1.09e-01  9.65e-02    8.93e-04  7.51e-04    1.08e-02  9.60e-03    5.0e-04
  93700    1.08e-01  1.10e-01    1.59e-03  1.34e-03    1.07e-02  1.09e-02    5.0e-04
  93800    1.07e-01  1.00e-01    8.42e-04  8.56e-04    1.07e-02  9.98e-03    5.0e-04
  93900    1.09e-01  1.07e-01    9.03e-04  8.29e-04    1.09e-02  1.07e-02    5.0e-04
  94000    1.21e-01  1.11e-01    1.01e-03  8.72e-04    1.21e-02  1.11e-02    5.0e-04
  94100    1.29e-01  1.19e-01    7.63e-04  7.12e-04    1.28e-02  1.18e-02    5.0e-04
  94200    1.31e-01  1.23e-01    8.64e-04  9.06e-04    1.31e-02  1.23e-02    5.0e-04
  94300    1.18e-01  1.18e-01    1.02e-03  7.75e-04    1.17e-02  1.18e-02    5.0e-04
  94400    1.24e-01  1.01e-01    1.16e-03  1.09e-03    1.23e-02  1.01e-02    5.0e-04
  94500    1.03e-01  1.03e-01    1.16e-03  1.59e-03    1.03e-02  1.03e-02    5.0e-04
  94600    1.44e-01  1.19e-01    5.95e-04  6.33e-04    1.44e-02  1.18e-02    5.0e-04
  94700    9.61e-02  9.66e-02    7.56e-04  8.07e-04    9.57e-03  9.62e-03    5.0e-04
  94800    1.01e-01  9.93e-02    1.03e-03  7.05e-04    1.00e-02  9.89e-03    5.0e-04
  94900    1.12e-01  1.11e-01    1.90e-03  2.36e-03    1.11e-02  1.10e-02    5.0e-04
  95000    1.27e-01  1.20e-01    1.60e-03  1.40e-03    1.27e-02  1.20e-02    5.0e-04
  95100    1.02e-01  1.07e-01    1.33e-03  1.50e-03    1.01e-02  1.06e-02    5.0e-04
  95200    1.40e-01  1.45e-01    1.03e-03  1.11e-03    1.39e-02  1.44e-02    5.0e-04
  95300    1.41e-01  1.16e-01    9.96e-04  1.22e-03    1.40e-02  1.16e-02    5.0e-04
  95400    1.24e-01  9.72e-02    1.09e-03  7.77e-04    1.23e-02  9.67e-03    5.0e-04
  95500    1.07e-01  1.24e-01    1.56e-03  1.42e-03    1.07e-02  1.23e-02    5.0e-04
  95600    1.45e-01  1.23e-01    1.01e-03  1.12e-03    1.44e-02  1.22e-02    5.0e-04
  95700    1.10e-01  8.74e-02    1.44e-03  1.51e-03    1.09e-02  8.69e-03    5.0e-04
  95800    1.40e-01  1.19e-01    1.32e-03  2.07e-03    1.40e-02  1.19e-02    5.0e-04
  95900    1.12e-01  9.68e-02    1.36e-03  1.06e-03    1.12e-02  9.64e-03    5.0e-04
  96000    1.12e-01  1.11e-01    7.42e-04  6.32e-04    1.12e-02  1.10e-02    5.0e-04
  96100    1.20e-01  1.17e-01    9.34e-04  9.20e-04    1.20e-02  1.17e-02    5.0e-04
  96200    1.69e-01  1.68e-01    1.59e-03  1.52e-03    1.68e-02  1.68e-02    5.0e-04
  96300    1.50e-01  1.30e-01    1.05e-03  9.58e-04    1.49e-02  1.29e-02    5.0e-04
  96400    1.27e-01  1.14e-01    2.04e-03  1.81e-03    1.27e-02  1.14e-02    5.0e-04
  96500    1.13e-01  1.08e-01    1.28e-03  1.12e-03    1.13e-02  1.07e-02    5.0e-04
  96600    1.21e-01  1.20e-01    1.07e-03  8.68e-04    1.20e-02  1.19e-02    5.0e-04
  96700    1.39e-01  1.35e-01    1.73e-03  1.70e-03    1.38e-02  1.34e-02    5.0e-04
  96800    9.62e-02  9.70e-02    9.04e-04  9.52e-04    9.58e-03  9.65e-03    5.0e-04
  96900    1.20e-01  9.98e-02    1.02e-03  9.25e-04    1.19e-02  9.93e-03    5.0e-04
  97000    1.06e-01  1.16e-01    2.07e-03  1.99e-03    1.06e-02  1.16e-02    5.0e-04
  97100    1.10e-01  1.03e-01    6.76e-04  6.70e-04    1.10e-02  1.03e-02    5.0e-04
  97200    1.62e-01  1.67e-01    8.06e-04  1.04e-03    1.61e-02  1.67e-02    5.0e-04
  97300    1.43e-01  1.30e-01    9.54e-04  1.11e-03    1.43e-02  1.29e-02    5.0e-04
  97400    1.61e-01  1.45e-01    8.81e-04  5.58e-04    1.60e-02  1.44e-02    5.0e-04
  97500    1.39e-01  1.33e-01    2.21e-03  1.92e-03    1.38e-02  1.32e-02    5.0e-04
  97600    1.77e-01  1.59e-01    1.45e-03  1.56e-03    1.76e-02  1.58e-02    5.0e-04
  97700    1.22e-01  9.95e-02    7.90e-04  1.09e-03    1.21e-02  9.91e-03    5.0e-04
  97800    1.15e-01  1.07e-01    6.21e-04  7.79e-04    1.14e-02  1.06e-02    5.0e-04
  97900    1.59e-01  1.30e-01    4.19e-03  4.49e-03    1.58e-02  1.29e-02    5.0e-04
  98000    1.39e-01  1.22e-01    1.72e-03  1.67e-03    1.39e-02  1.21e-02    5.0e-04
  98100    1.10e-01  1.01e-01    7.20e-04  4.57e-04    1.10e-02  1.00e-02    5.0e-04
  98200    1.08e-01  8.17e-02    6.52e-04  5.74e-04    1.08e-02  8.13e-03    5.0e-04
  98300    1.05e-01  1.05e-01    6.96e-04  6.59e-04    1.05e-02  1.05e-02    5.0e-04
  98400    1.18e-01  1.07e-01    9.10e-04  1.03e-03    1.18e-02  1.07e-02    5.0e-04
  98500    1.08e-01  1.17e-01    1.15e-03  1.19e-03    1.08e-02  1.17e-02    5.0e-04
  98600    1.19e-01  1.20e-01    1.81e-03  1.34e-03    1.19e-02  1.20e-02    5.0e-04
  98700    1.01e-01  8.53e-02    1.05e-03  1.14e-03    1.01e-02  8.49e-03    5.0e-04
  98800    1.02e-01  1.02e-01    8.19e-04  8.83e-04    1.02e-02  1.02e-02    5.0e-04
  98900    1.06e-01  1.06e-01    1.18e-03  8.96e-04    1.06e-02  1.05e-02    5.0e-04
  99000    1.14e-01  1.08e-01    6.65e-04  9.50e-04    1.13e-02  1.08e-02    5.0e-04
  99100    1.02e-01  9.38e-02    8.75e-04  9.90e-04    1.01e-02  9.33e-03    5.0e-04
  99200    9.34e-02  8.62e-02    5.82e-04  5.75e-04    9.30e-03  8.58e-03    5.0e-04
  99300    1.23e-01  1.02e-01    8.56e-04  8.46e-04    1.22e-02  1.01e-02    5.0e-04
  99400    1.23e-01  1.07e-01    9.30e-04  1.12e-03    1.22e-02  1.07e-02    5.0e-04
  99500    1.09e-01  1.05e-01    1.99e-03  1.87e-03    1.09e-02  1.04e-02    5.0e-04
  99600    1.01e-01  9.06e-02    1.20e-03  1.36e-03    1.01e-02  9.01e-03    5.0e-04
  99700    2.14e-01  1.82e-01    1.43e-03  1.43e-03    2.13e-02  1.81e-02    5.0e-04
  99800    1.38e-01  1.40e-01    1.45e-03  1.57e-03    1.38e-02  1.39e-02    5.0e-04
  99900    1.12e-01  1.01e-01    6.48e-04  5.89e-04    1.11e-02  1.00e-02    5.0e-04
 100000    8.11e-02  7.33e-02    1.18e-03  8.93e-04    1.07e-02  9.69e-03    2.8e-04
 100100    6.60e-02  6.09e-02    6.28e-04  7.19e-04    8.72e-03  8.06e-03    2.8e-04
 100200    6.95e-02  7.09e-02    7.89e-04  5.80e-04    9.19e-03  9.37e-03    2.8e-04
 100300    6.87e-02  5.58e-02    6.83e-04  7.53e-04    9.08e-03  7.37e-03    2.8e-04
 100400    7.11e-02  6.97e-02    6.00e-04  7.47e-04    9.40e-03  9.21e-03    2.8e-04
 100500    7.22e-02  6.35e-02    6.19e-04  5.56e-04    9.55e-03  8.39e-03    2.8e-04
 100600    6.75e-02  6.20e-02    5.83e-04  5.31e-04    8.93e-03  8.20e-03    2.8e-04
 100700    7.27e-02  7.17e-02    5.71e-04  6.09e-04    9.62e-03  9.49e-03    2.8e-04
 100800    6.82e-02  6.66e-02    5.94e-04  5.47e-04    9.02e-03  8.80e-03    2.8e-04
 100900    6.64e-02  6.31e-02    6.82e-04  5.48e-04    8.78e-03  8.34e-03    2.8e-04
 101000    6.85e-02  6.57e-02    6.80e-04  8.73e-04    9.06e-03  8.68e-03    2.8e-04
 101100    6.72e-02  6.44e-02    6.59e-04  4.34e-04    8.88e-03  8.52e-03    2.8e-04
 101200    6.96e-02  6.24e-02    6.83e-04  5.80e-04    9.20e-03  8.24e-03    2.8e-04
 101300    6.76e-02  6.23e-02    5.30e-04  4.22e-04    8.94e-03  8.24e-03    2.8e-04
 101400    7.32e-02  7.08e-02    5.53e-04  6.01e-04    9.68e-03  9.36e-03    2.8e-04
 101500    6.90e-02  7.07e-02    6.65e-04  7.34e-04    9.12e-03  9.34e-03    2.8e-04
 101600    7.09e-02  7.07e-02    7.23e-04  6.53e-04    9.37e-03  9.35e-03    2.8e-04
 101700    7.78e-02  7.43e-02    5.97e-04  8.46e-04    1.03e-02  9.82e-03    2.8e-04
 101800    7.27e-02  7.10e-02    7.33e-04  7.67e-04    9.61e-03  9.39e-03    2.8e-04
 101900    8.28e-02  7.69e-02    5.45e-04  3.79e-04    1.10e-02  1.02e-02    2.8e-04
 102000    7.17e-02  6.65e-02    5.78e-04  4.05e-04    9.48e-03  8.79e-03    2.8e-04
 102100    6.84e-02  6.14e-02    5.81e-04  5.68e-04    9.04e-03  8.11e-03    2.8e-04
 102200    7.40e-02  6.35e-02    5.64e-04  4.33e-04    9.78e-03  8.39e-03    2.8e-04
 102300    7.03e-02  5.82e-02    5.09e-04  6.59e-04    9.29e-03  7.69e-03    2.8e-04
 102400    7.72e-02  7.12e-02    7.04e-04  7.43e-04    1.02e-02  9.41e-03    2.8e-04
 102500    7.32e-02  6.76e-02    4.90e-04  8.41e-04    9.68e-03  8.93e-03    2.8e-04
 102600    6.85e-02  7.15e-02    5.28e-04  6.59e-04    9.05e-03  9.46e-03    2.8e-04
 102700    6.89e-02  6.59e-02    7.83e-04  8.39e-04    9.10e-03  8.71e-03    2.8e-04
 102800    7.08e-02  5.96e-02    5.66e-04  5.61e-04    9.36e-03  7.88e-03    2.8e-04
 102900    7.57e-02  6.61e-02    6.59e-04  5.33e-04    1.00e-02  8.73e-03    2.8e-04
 103000    7.01e-02  7.15e-02    7.79e-04  1.02e-03    9.27e-03  9.44e-03    2.8e-04
 103100    7.21e-02  6.68e-02    6.04e-04  7.48e-04    9.53e-03  8.83e-03    2.8e-04
 103200    7.40e-02  6.57e-02    5.22e-04  4.52e-04    9.79e-03  8.68e-03    2.8e-04
 103300    7.96e-02  6.70e-02    6.20e-04  6.74e-04    1.05e-02  8.85e-03    2.8e-04
 103400    7.24e-02  7.46e-02    9.72e-04  1.02e-03    9.57e-03  9.85e-03    2.8e-04
 103500    8.42e-02  7.03e-02    5.48e-04  5.23e-04    1.11e-02  9.30e-03    2.8e-04
 103600    7.72e-02  6.93e-02    5.14e-04  4.67e-04    1.02e-02  9.16e-03    2.8e-04
 103700    8.69e-02  7.15e-02    5.90e-04  5.92e-04    1.15e-02  9.46e-03    2.8e-04
 103800    7.55e-02  6.82e-02    5.45e-04  6.65e-04    9.99e-03  9.02e-03    2.8e-04
 103900    8.25e-02  7.35e-02    5.27e-04  4.38e-04    1.09e-02  9.72e-03    2.8e-04
 104000    8.05e-02  8.10e-02    6.02e-04  2.66e-04    1.06e-02  1.07e-02    2.8e-04
 104100    7.07e-02  7.15e-02    5.47e-04  5.72e-04    9.34e-03  9.46e-03    2.8e-04
 104200    8.22e-02  6.73e-02    4.41e-04  6.33e-04    1.09e-02  8.90e-03    2.8e-04
 104300    7.12e-02  7.28e-02    1.11e-03  1.10e-03    9.40e-03  9.62e-03    2.8e-04
 104400    8.08e-02  7.97e-02    8.55e-04  8.44e-04    1.07e-02  1.05e-02    2.8e-04
 104500    8.02e-02  6.63e-02    6.33e-04  3.24e-04    1.06e-02  8.77e-03    2.8e-04
 104600    7.32e-02  7.31e-02    7.17e-04  4.87e-04    9.68e-03  9.66e-03    2.8e-04
 104700    6.66e-02  6.67e-02    8.74e-04  1.11e-03    8.80e-03  8.82e-03    2.8e-04
 104800    7.67e-02  7.26e-02    1.11e-03  1.32e-03    1.01e-02  9.59e-03    2.8e-04
 104900    9.38e-02  8.07e-02    3.87e-04  4.29e-04    1.24e-02  1.07e-02    2.8e-04
 105000    6.74e-02  6.54e-02    5.68e-04  6.29e-04    8.91e-03  8.64e-03    2.8e-04
 105100    6.92e-02  6.85e-02    7.20e-04  1.03e-03    9.14e-03  9.04e-03    2.8e-04
 105200    6.77e-02  6.31e-02    6.10e-04  4.90e-04    8.95e-03  8.34e-03    2.8e-04
 105300    7.11e-02  6.89e-02    6.08e-04  4.61e-04    9.39e-03  9.11e-03    2.8e-04
 105400    8.29e-02  7.19e-02    7.31e-04  7.35e-04    1.10e-02  9.51e-03    2.8e-04
 105500    7.78e-02  9.21e-02    8.56e-04  1.01e-03    1.03e-02  1.22e-02    2.8e-04
 105600    7.34e-02  6.89e-02    5.59e-04  1.13e-03    9.71e-03  9.10e-03    2.8e-04
 105700    1.01e-01  8.26e-02    7.12e-04  5.13e-04    1.33e-02  1.09e-02    2.8e-04
 105800    7.34e-02  7.15e-02    5.32e-04  5.77e-04    9.71e-03  9.46e-03    2.8e-04
 105900    6.82e-02  7.91e-02    5.41e-04  7.17e-04    9.02e-03  1.05e-02    2.8e-04
 106000    8.16e-02  6.05e-02    5.87e-04  3.63e-04    1.08e-02  8.00e-03    2.8e-04
 106100    6.55e-02  6.86e-02    5.72e-04  6.95e-04    8.66e-03  9.07e-03    2.8e-04
 106200    7.67e-02  8.13e-02    5.67e-04  3.18e-04    1.01e-02  1.08e-02    2.8e-04
 106300    6.76e-02  7.46e-02    7.11e-04  6.07e-04    8.94e-03  9.87e-03    2.8e-04
 106400    6.94e-02  7.11e-02    8.23e-04  4.79e-04    9.17e-03  9.41e-03    2.8e-04
 106500    6.85e-02  6.50e-02    7.82e-04  8.41e-04    9.06e-03  8.58e-03    2.8e-04
 106600    7.72e-02  6.99e-02    1.18e-03  1.21e-03    1.02e-02  9.24e-03    2.8e-04
 106700    6.87e-02  7.17e-02    6.05e-04  5.85e-04    9.08e-03  9.47e-03    2.8e-04
 106800    8.23e-02  7.55e-02    6.15e-04  6.26e-04    1.09e-02  9.98e-03    2.8e-04
 106900    7.81e-02  1.03e-01    7.24e-04  1.20e-03    1.03e-02  1.36e-02    2.8e-04
 107000    7.78e-02  7.12e-02    5.56e-04  6.13e-04    1.03e-02  9.41e-03    2.8e-04
 107100    8.01e-02  6.94e-02    7.18e-04  1.04e-03    1.06e-02  9.17e-03    2.8e-04
 107200    8.76e-02  6.42e-02    5.24e-04  4.60e-04    1.16e-02  8.49e-03    2.8e-04
 107300    7.50e-02  7.61e-02    5.12e-04  4.88e-04    9.92e-03  1.01e-02    2.8e-04
 107400    7.47e-02  6.28e-02    4.30e-04  4.68e-04    9.88e-03  8.30e-03    2.8e-04
 107500    6.89e-02  6.96e-02    5.78e-04  6.52e-04    9.11e-03  9.20e-03    2.8e-04
 107600    7.17e-02  6.83e-02    4.45e-04  5.06e-04    9.47e-03  9.02e-03    2.8e-04
 107700    7.04e-02  6.63e-02    4.98e-04  5.51e-04    9.31e-03  8.77e-03    2.8e-04
 107800    7.84e-02  7.42e-02    4.34e-04  7.28e-04    1.04e-02  9.81e-03    2.8e-04
 107900    7.51e-02  6.90e-02    7.04e-04  6.68e-04    9.93e-03  9.12e-03    2.8e-04
 108000    7.62e-02  7.92e-02    6.51e-04  7.53e-04    1.01e-02  1.05e-02    2.8e-04
 108100    6.59e-02  7.72e-02    5.66e-04  6.29e-04    8.72e-03  1.02e-02    2.8e-04
 108200    8.34e-02  6.86e-02    5.04e-04  6.00e-04    1.10e-02  9.07e-03    2.8e-04
 108300    7.64e-02  7.05e-02    4.56e-04  4.09e-04    1.01e-02  9.32e-03    2.8e-04
 108400    6.98e-02  6.33e-02    4.11e-04  5.12e-04    9.23e-03  8.37e-03    2.8e-04
 108500    7.71e-02  8.46e-02    5.14e-04  8.01e-04    1.02e-02  1.12e-02    2.8e-04
 108600    8.54e-02  6.76e-02    4.11e-04  4.93e-04    1.13e-02  8.94e-03    2.8e-04
 108700    7.55e-02  7.00e-02    8.82e-04  9.69e-04    9.98e-03  9.25e-03    2.8e-04
 108800    8.01e-02  7.45e-02    8.11e-04  1.07e-03    1.06e-02  9.85e-03    2.8e-04
 108900    6.90e-02  6.75e-02    5.64e-04  6.16e-04    9.13e-03  8.92e-03    2.8e-04
 109000    8.00e-02  8.19e-02    1.00e-03  9.30e-04    1.06e-02  1.08e-02    2.8e-04
 109100    7.48e-02  6.28e-02    5.10e-04  4.59e-04    9.89e-03  8.31e-03    2.8e-04
 109200    8.44e-02  7.63e-02    7.92e-04  6.60e-04    1.12e-02  1.01e-02    2.8e-04
 109300    7.72e-02  7.24e-02    1.14e-03  1.20e-03    1.02e-02  9.57e-03    2.8e-04
 109400    7.05e-02  7.25e-02    7.06e-04  6.84e-04    9.32e-03  9.58e-03    2.8e-04
 109500    7.13e-02  7.25e-02    5.58e-04  6.14e-04    9.42e-03  9.58e-03    2.8e-04
 109600    7.61e-02  6.24e-02    7.22e-04  8.29e-04    1.01e-02  8.24e-03    2.8e-04
 109700    6.91e-02  6.33e-02    5.61e-04  5.97e-04    9.13e-03  8.37e-03    2.8e-04
 109800    7.42e-02  6.24e-02    1.06e-03  1.18e-03    9.80e-03  8.25e-03    2.8e-04
 109900    7.33e-02  5.85e-02    5.32e-04  3.30e-04    9.70e-03  7.73e-03    2.8e-04
 110000    8.06e-02  6.44e-02    4.98e-04  4.57e-04    1.07e-02  8.51e-03    2.8e-04
 110100    6.98e-02  6.45e-02    4.27e-04  4.07e-04    9.23e-03  8.53e-03    2.8e-04
 110200    7.11e-02  6.65e-02    4.20e-04  4.21e-04    9.41e-03  8.80e-03    2.8e-04
 110300    7.51e-02  7.61e-02    5.56e-04  5.48e-04    9.93e-03  1.01e-02    2.8e-04
 110400    6.87e-02  5.86e-02    7.35e-04  7.74e-04    9.08e-03  7.75e-03    2.8e-04
 110500    8.19e-02  7.20e-02    8.46e-04  6.83e-04    1.08e-02  9.52e-03    2.8e-04
 110600    7.18e-02  6.92e-02    6.27e-04  6.76e-04    9.49e-03  9.15e-03    2.8e-04
 110700    7.78e-02  7.06e-02    5.61e-04  6.71e-04    1.03e-02  9.34e-03    2.8e-04
 110800    6.96e-02  6.80e-02    5.16e-04  5.69e-04    9.20e-03  8.99e-03    2.8e-04
 110900    7.07e-02  6.68e-02    5.62e-04  8.29e-04    9.35e-03  8.83e-03    2.8e-04
 111000    9.41e-02  9.74e-02    7.98e-04  6.76e-04    1.24e-02  1.29e-02    2.8e-04
 111100    8.35e-02  7.92e-02    4.08e-04  5.85e-04    1.10e-02  1.05e-02    2.8e-04
 111200    7.35e-02  7.40e-02    5.25e-04  6.88e-04    9.71e-03  9.78e-03    2.8e-04
 111300    7.63e-02  6.91e-02    9.09e-04  9.03e-04    1.01e-02  9.14e-03    2.8e-04
 111400    6.66e-02  7.84e-02    5.03e-04  5.81e-04    8.81e-03  1.04e-02    2.8e-04
 111500    7.87e-02  7.18e-02    7.24e-04  5.95e-04    1.04e-02  9.49e-03    2.8e-04
 111600    6.99e-02  6.23e-02    7.49e-04  4.11e-04    9.24e-03  8.24e-03    2.8e-04
 111700    6.84e-02  6.76e-02    5.02e-04  3.45e-04    9.04e-03  8.94e-03    2.8e-04
 111800    7.06e-02  6.87e-02    7.82e-04  7.67e-04    9.33e-03  9.08e-03    2.8e-04
 111900    7.26e-02  7.89e-02    4.83e-04  5.29e-04    9.61e-03  1.04e-02    2.8e-04
 112000    7.98e-02  7.69e-02    6.48e-04  7.38e-04    1.06e-02  1.02e-02    2.8e-04
 112100    7.06e-02  5.58e-02    9.23e-04  7.37e-04    9.34e-03  7.38e-03    2.8e-04
 112200    8.45e-02  7.59e-02    5.00e-04  5.94e-04    1.12e-02  1.00e-02    2.8e-04
 112300    7.71e-02  7.05e-02    6.17e-04  7.78e-04    1.02e-02  9.32e-03    2.8e-04
 112400    6.71e-02  6.09e-02    5.29e-04  6.10e-04    8.87e-03  8.06e-03    2.8e-04
 112500    8.46e-02  6.35e-02    6.05e-04  5.28e-04    1.12e-02  8.39e-03    2.8e-04
 112600    7.63e-02  7.47e-02    5.08e-04  5.90e-04    1.01e-02  9.88e-03    2.8e-04
 112700    6.82e-02  7.31e-02    6.37e-04  5.37e-04    9.02e-03  9.67e-03    2.8e-04
 112800    7.35e-02  7.22e-02    6.10e-04  4.82e-04    9.72e-03  9.54e-03    2.8e-04
 112900    7.99e-02  7.68e-02    5.94e-04  4.17e-04    1.06e-02  1.02e-02    2.8e-04
 113000    7.79e-02  7.90e-02    5.58e-04  5.31e-04    1.03e-02  1.04e-02    2.8e-04
 113100    7.56e-02  8.17e-02    6.09e-04  6.08e-04    1.00e-02  1.08e-02    2.8e-04
 113200    7.71e-02  8.65e-02    5.78e-04  6.76e-04    1.02e-02  1.14e-02    2.8e-04
 113300    7.38e-02  6.82e-02    5.34e-04  6.97e-04    9.76e-03  9.01e-03    2.8e-04
 113400    7.06e-02  6.76e-02    4.51e-04  5.85e-04    9.34e-03  8.94e-03    2.8e-04
 113500    7.40e-02  6.14e-02    4.83e-04  4.25e-04    9.78e-03  8.12e-03    2.8e-04
 113600    6.71e-02  5.81e-02    5.84e-04  6.27e-04    8.87e-03  7.68e-03    2.8e-04
 113700    7.90e-02  8.29e-02    5.67e-04  5.66e-04    1.05e-02  1.10e-02    2.8e-04
 113800    6.90e-02  7.38e-02    5.03e-04  3.00e-04    9.13e-03  9.76e-03    2.8e-04
 113900    7.45e-02  6.60e-02    4.69e-04  5.68e-04    9.86e-03  8.73e-03    2.8e-04
 114000    7.59e-02  7.23e-02    6.59e-04  5.37e-04    1.00e-02  9.55e-03    2.8e-04
 114100    9.72e-02  8.84e-02    7.43e-04  6.82e-04    1.28e-02  1.17e-02    2.8e-04
 114200    8.06e-02  8.02e-02    1.09e-03  1.14e-03    1.07e-02  1.06e-02    2.8e-04
 114300    6.92e-02  6.50e-02    5.34e-04  3.82e-04    9.15e-03  8.59e-03    2.8e-04
 114400    6.70e-02  7.12e-02    7.36e-04  7.99e-04    8.86e-03  9.41e-03    2.8e-04
 114500    6.65e-02  7.14e-02    6.03e-04  7.65e-04    8.79e-03  9.44e-03    2.8e-04
 114600    7.07e-02  6.35e-02    4.17e-04  3.68e-04    9.34e-03  8.40e-03    2.8e-04
 114700    8.05e-02  7.08e-02    4.01e-04  8.76e-04    1.06e-02  9.35e-03    2.8e-04
 114800    8.46e-02  7.84e-02    5.15e-04  5.67e-04    1.12e-02  1.04e-02    2.8e-04
 114900    7.48e-02  7.25e-02    5.31e-04  7.48e-04    9.89e-03  9.58e-03    2.8e-04
 115000    6.91e-02  6.38e-02    2.81e-04  2.74e-04    9.14e-03  8.44e-03    2.8e-04
 115100    8.51e-02  7.59e-02    7.00e-04  6.50e-04    1.13e-02  1.00e-02    2.8e-04
 115200    7.37e-02  6.62e-02    7.87e-04  8.98e-04    9.74e-03  8.74e-03    2.8e-04
 115300    7.00e-02  6.89e-02    6.06e-04  6.69e-04    9.25e-03  9.11e-03    2.8e-04
 115400    6.95e-02  7.20e-02    5.32e-04  3.49e-04    9.19e-03  9.53e-03    2.8e-04
 115500    7.26e-02  6.11e-02    7.84e-04  7.93e-04    9.60e-03  8.07e-03    2.8e-04
 115600    8.18e-02  7.85e-02    9.70e-04  9.53e-04    1.08e-02  1.04e-02    2.8e-04
 115700    7.37e-02  6.83e-02    6.44e-04  6.10e-04    9.74e-03  9.03e-03    2.8e-04
 115800    8.26e-02  6.45e-02    1.26e-03  1.24e-03    1.09e-02  8.51e-03    2.8e-04
 115900    7.06e-02  7.84e-02    6.19e-04  6.72e-04    9.33e-03  1.04e-02    2.8e-04
 116000    7.64e-02  7.60e-02    4.76e-04  5.75e-04    1.01e-02  1.00e-02    2.8e-04
